dataset_name,sensitive_attribute,group,n_samples,mean_dox,std_dox,median_dox,min_dox,max_dox,mean_clarity,mean_distinctiveness,mean_coverage,dox_gap,clarity_gap,distinctiveness_gap,coverage_gap,evaluation_time_seconds
label_noise_sy_0.00,A,Group_1,1666,0.8114726920196557,0.017846421109567943,0.8133012334483813,0.47067447364851595,0.8133308279946211,0.5333333333333333,0.9946838819609208,1.0,0.0008121556807032526,1.1102230246251565e-16,0.002320444802009103,0.0,0.10815691947937012
hist_bias_Y_ly_0.10,A,Group_0,1634,0.8120181305963576,0.014350700598179042,0.8132523091917251,0.5509397862738297,0.8133253164297605,0.5333333333333332,0.9962422778943553,1.0,0.000807301950385364,1.1102230246251565e-16,0.002306577001101262,0.0,0.11006593704223633
hist_bias_Y_ly_0.10,A,Group_1,1666,0.8112108286459723,0.018717571922989035,0.8132554476540567,0.516788032721162,0.8133272535784366,0.5333333333333333,0.993935700893254,1.0,0.000807301950385364,1.1102230246251565e-16,0.002306577001101262,0.0,0.11006593704223633
hist_bias_Q_lhq_0.10,A,Group_0,1634,0.8116521120969072,0.016379212858616952,0.8131664908646126,0.5012257085431874,0.8133178813476881,0.5333333333333332,0.9951965107530686,1.0,0.0008167958622392613,1.1102230246251565e-16,0.002333702463541143,0.0,0.14578723907470703
hist_bias_Q_lhq_0.10,A,Group_1,1666,0.810835316234668,0.020202065965748167,0.8131684434702999,0.4666651436320055,0.8133199464223211,0.5333333333333333,0.9928628082895274,1.0,0.0008167958622392613,1.1102230246251565e-16,0.002333702463541143,0.0,0.14578723907470703
hist_bias_R_lhr_0.10,A,Group_0,1634,0.8116083136617112,0.014476457277229517,0.8131212813930323,0.5566263209378131,0.8133123431549039,0.5333333333333332,0.9950713723667937,1.0,0.0006382257911049516,1.1102230246251565e-16,0.001823502260299703,0.0,0.1702406406402588
hist_bias_R_lhr_0.10,A,Group_1,1666,0.8109700878706062,0.019258194509871807,0.8131293716208909,0.49397148016092174,0.8133173343245635,0.5333333333333333,0.993247870106494,1.0,0.0006382257911049516,1.1102230246251565e-16,0.001823502260299703,0.0,0.1702406406402588
interaction_bias_lyb_0.10,A,Group_0,1634,0.8073088466358943,0.026380552086868146,0.8120557793580777,0.493796928971278,0.813206437476385,0.5333333333333332,0.9827871808644599,1.0,0.0013136870944071566,1.1102230246251565e-16,0.003753391698306241,0.0,0.14527153968811035
interaction_bias_lyb_0.10,A,Group_1,1666,0.8059951595414871,0.030293576157790898,0.8121050619247627,0.49231393179754124,0.8132370898325292,0.5333333333333333,0.9790337891661537,1.0,0.0013136870944071566,1.1102230246251565e-16,0.003753391698306241,0.0,0.14527153968811035
meas_bias_Y_linear_lmy_0.10,A,Group_0,1634,0.8120181305963576,0.014350700598179042,0.8132523091917251,0.5509397862738297,0.8133253164297605,0.5333333333333332,0.9962422778943553,1.0,0.000807301950385364,1.1102230246251565e-16,0.002306577001101262,0.0,0.14603781700134277
